name,furniture_type,price,color,shop_name,shop_item_id,shop_url,x_dimension,y_dimension,z_dimension,photo
ラージュ ソファ 3S グレー（W1860）,sofa,159000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015959?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40582489997335&position=17,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010015959_d1.jpg?v=1689217386
フィーザ スロー（ひざ掛け） 1700×1300 グレー【2023秋冬モデル】,sofa,5950,#c5bdbd,francfranc,,https://francfranc.com/products/1102050076048?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40582509232151&position=18,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102050076048_d1.jpg?v=1689217242
ラージュ ソファ L ブルー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010151305?id=7d832d5638a1ab437d0258d90fc8218c&objectID=28904474542144&position=19,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010151305_d1.jpg?v=1670484421
リリア マルチクロス 1900×2300 グレー,sofa,1260,#c5bdbd,francfranc,,https://francfranc.com/products/1102050107803?id=7d832d5638a1ab437d0258d90fc8218c&objectID=29420441206807&position=20,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050107803_A.jpg?v=1579159666
ダマスク マルチクロス 1900×2300 ライトグレー,sofa,1260,#c5bdbd,francfranc,,https://francfranc.com/products/1102050107605?id=7d832d5638a1ab437d0258d90fc8218c&objectID=29420441239575&position=21,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050107605_A.jpg?v=1579159668
リリア マルチクロス 2300×2600 グレー,sofa,1610,#c5bdbd,francfranc,,https://francfranc.com/products/1102050107902?id=7d832d5638a1ab437d0258d90fc8218c&objectID=29420440420375&position=22,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050107902_A.jpg?v=1569347819
ルルド プレミアムマッサージクッション ダブルもみ グレー,sofa,12800,#c5bdbd,francfranc,,https://francfranc.com/products/1109990037382?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40544270188567&position=23,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1109990037382_d1.jpg?v=1681881717
エーデル オットマン&テーブル ライトグレー,sofa,29000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015935?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40470379003927&position=24,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015935_d1.jpg?v=1680853645
ラージュ ソファ Ｒ グレー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010151909?id=7d832d5638a1ab437d0258d90fc8218c&objectID=28904474837056&position=25,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010151909_d1.jpg?v=1670559252
ラージュ ソファ L グレー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010151701?id=7d832d5638a1ab437d0258d90fc8218c&objectID=28904474574912&position=26,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010151701_d1.jpg?v=1670558889
ラージュ カウチ Ｒ グレー,sofa,121500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010152005?id=7d832d5638a1ab437d0258d90fc8218c&objectID=28904474804288&position=27,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010152005_d1.jpg?v=1670559359
ラージュ カウチ L グレー,sofa,121500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010151800?id=7d832d5638a1ab437d0258d90fc8218c&objectID=28904474607680&position=28,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010151800_d1.jpg?v=1670559235
ラージュ カウチ L ダークグレー,sofa,121500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015560?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40429906034711&position=29,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015560_d1.jpg?v=1670488698
ラージュ カウチ R ダークグレー,sofa,121500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015584?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40429907017751&position=30,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015584_d1.jpg?v=1670488859
ラージュ ソファ L ダークグレー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015553?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40429905936407&position=31,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015553_d1.jpg?v=1670488616
ラージュ ソファ R ダークグレー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015577?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40429906231319&position=32,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015577_d1.jpg?v=1670488777
エーデル カウチ ライトグレー,sofa,119000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014570?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40121846431767&position=33,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014570_d1.jpg?v=1661753172
【オンラインショップ限定】WARMY ボティーヌ ごろ寝マット グレー,sofa,5440,#c5bdbd,francfranc,,https://francfranc.com/products/1102110040149?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40252416393239&position=34,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102110040149_d1.jpg?v=1660719564
ヌボラ ソファ 2 2S グレー（W1500）,sofa,54000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014990?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40121846693911&position=35,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014990_d1.jpg?v=1659501772
ヌボラ ソファ 2 1S グレー（W745）,sofa,34000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015034?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40121846988823&position=36,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015034_d1.jpg?v=1659501601
ヌボラ オットマン 2 グレー（W480）,sofa,16000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015065?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40121846005783&position=37,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015065_d1.jpg?v=1659501476
【オンラインショップ限定】カラン フロアソファ グレー（W1120～1570）,sofa,24800,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014785?id=7d832d5638a1ab437d0258d90fc8218c&objectID=40121846366231&position=38,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014785_d1.jpg?v=1656662278
リルモア スロー（ひざ掛け） 1700×1300 グレー,sofa,1400,#c5bdbd,francfranc,,https://francfranc.com/products/1102050013449?id=7d832d5638a1ab437d0258d90fc8218c&objectID=31714879012887&position=39,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050013449_d1.jpg?v=1598862690
